PROGETTO;CLASSE;ANIJ;ANYC;COMMENTS_DENSITY;WPJC;N_FLESCH;FLESCH;KINCAID;N_FOG;FOG;TOKENS;NOUNS;VERBS;SPW;RSYNC;PSYNC;ESYNC;DIR;class
Jedit;TarOutputStream.java;0,521739;0,785714;40,766551;20,642857;80,197143;Facile;4,528571;15,205571;Difficile;24,304348;7;4;1,130435;0;33,333333;0;7,142857;High
Logback;AccessConstants.java;0;1;50;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;100;100;100;100;Very-Low
Logback;AccessConverter.java;0;0;21,311475;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Very-Low
Logback;ContentLengthConverter.java;0;0;50;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Very-Low
Logback;CountingFilter.java;0;0;18,84058;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Very-Low
Logback;DateConverter.java;0;0;29,411765;5;-320,055;Molto-Confusionario;59,5;30,054545;Illeggibile;5;2;0,5;0,25;0;0;100;0;Low
Logback;DBAppender.java;0,071429;0;20;18;38,82;Difficile;11,7;27,554839;Illeggibile;2,357143;0,857143;0,142857;0,071429;0;0;0;0;Low
Logback;DefaultCssBuilder.java;0,25;0;26,666667;18;65,73;Standard;7,6;14,742857;Difficile;8,25;2,5;1;0,75;100;0;100;0;Low
Logback;ElapsedSecondsConverter.java;0;0;65;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Very-Low
Logback;ElapsedTimeConverter.java;0;0;61,904762;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Very-Low
Logback;EnsureLineSeparation.java;0;0;50;7;92,8;Molto-Facile;1,3;3,6;Infantile;6,5;2;0;0;100;0;100;0;Very-Low
Logback;Filter.java;0,111111;0;58,62069;16,5;69,28;Standard;6,25;17,996009;Difficile;7,888889;2,111111;1,333333;0,111111;0;0;100;0;Very-High
Logback;FullRequestConverter.java;0,25;0;48,888889;4;63,36;Standard;6,4;12,7;Ideale;2;0,25;0,5;0,25;0;0;100;0;Low
Logback;FullResponseConverter.java;0;0;10,483871;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Very-Low
Logback;HTMLLayout.java;0,25;0,25;40,697674;9,666667;32,573333;Difficile;10,666667;26,936732;Illeggibile;6,5;2,5;1;0,25;0;0;100;0;Medium
Logback;JaninoEventEvaluator.java;0;0;19,117647;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Very-Low
Logback;JettyServerAdapter.java;0;0;32,20339;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Very-Low
Logback;LineSeparatorConverter.java;0;0;59,090909;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Very-Low
Logback;LocalIPAddressConverter.java;0;0;41,935484;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Very-Low
Logback;LocalPortConverter.java;0;0;61,904762;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Low
Logback;NAConverter.java;0,333333;0;70,37037;10;64,71;Standard;8;21,333333;Illeggibile;7;2;0,666667;0,666667;0;0;100;0;Very-High
Logback;PatternLayout.java;0,125;0;18,644068;7,25;38,8975;Difficile;10,125;22,412424;Illeggibile;7,375;2,625;0,75;0,375;0;0;100;0;Low
Logback;PatternLayoutEncoder.java;0;0;48,148148;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;100;100;100;100;Very-Low
Logback;PeriodicStats.java;0;0;25;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Very-Low
Logback;QueryStringConverter.java;0;0;65;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Low
Logback;RemoteHostConverter.java;0;0;61,904762;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Very-Low
Pubnub;BasePathManager.java;1;1;44,067797;6,25;42,63;Difficile;9,4625;24,420238;Illeggibile;10,125;4;1,75;0,5;0;100;100;100;High
Pubnub;DeleteMessages.java;0;0;0;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;0;0;Very-Low
Pubnub;DuplicationManager.java;0;0;0;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Very-Low
Pubnub;Endpoint.java;0,045455;0,090909;3,007519;7;71,99;Piuttosto-Facile;6,2;19,3;Illeggibile;1,227273;0,318182;0,227273;0;0;0;0;0;Low
Pubnub;FetchMessages.java;0;0;1,574803;6;67,25;Standard;7;20,650794;Illeggibile;1,933333;0,466667;0,333333;0,066667;0;0;0;0;Very-Low
Pubnub;History.java;0;0;1,398601;6;67,25;Standard;7;20,650794;Illeggibile;1,705882;0,411765;0,294118;0,058824;0;0;0;0;Very-Low
Pubnub;ListenerManager.java;0,1;0,142857;9,433962;6;48,47;Difficile;8;14,4;Difficile;1,4;0,5;0,2;0;0;16,666667;100;14,285714;Low
Pubnub;MapperManager.java;0;0;2,362205;4;92,8;Molto-Facile;1,3;3,6;Infantile;0,25;0,166667;0;0;0;0;0;0;Very-Low
Pubnub;PNConfiguration.java;0,270833;1;41,145833;9,076923;50,585385;Piuttosto-Difficile;9,246154;23,010003;Illeggibile;4,479167;1,4375;0,770833;0,166667;0;100;100;100;Very-High
Pubnub;PublishSequenceManager.java;0;0;0;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Very-Low
Pubnub;PubNub.java;0,236364;0,302326;21,722846;8,384615;60,366923;Standard;8,338462;19,513215;Illeggibile;3,090909;1,163636;0,654545;0;11,764706;57,142857;25;8,108108;Medium
Pubnub;PubNubError.java;0,333333;1;50;4;55,405;Piuttosto-Difficile;7,4;22,777778;Illeggibile;3,166667;0,833333;0,333333;0,166667;100;100;100;100;Medium
Pubnub;PubNubErrorBuilder.java;0,893617;0;39,230769;5,5;39,220714;Difficile;9,033333;29,956534;Illeggibile;6,531915;3,574468;1,106383;0,12766;0;0;100;0;Medium
Pubnub;PubNubException.java;0;1;0;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;100;100;100;100;Very-Low
Pubnub;PubNubUtil.java;0,3;0,333333;13,461538;6,25;46,69;Difficile;8,65;17,957143;Difficile;3,5;1,1;1,3;0;0;25;0;25;Very-Low
Pubnub;PubSubBuilder.java;0;0;0;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Very-Low
Pubnub;ReconnectionManager.java;0,05;0;4,854369;4,5;64,375;Standard;6,05;14,8;Difficile;0,8;0,25;0,15;0,05;0;0;100;0;Low
Pubnub;RetrofitManager.java;0;0;0,757576;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Low
Pubnub;StateManager.java;0,285714;0;10,344828;5;72,8325;Piuttosto-Facile;4,85;24,8;Illeggibile;2,214286;0,857143;0,285714;0,285714;0;0;100;0;Low
Pubnub;SubscribeBuilder.java;0;0;12,765957;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;100;0;Very-Low
Pubnub;SubscribeMessageWorker.java;0;0;3,409091;6;67,25;Standard;7;20,650794;Illeggibile;2,416667;0,583333;0,416667;0,083333;0;0;100;0;Very-Low
Pubnub;SubscriptionManager.java;0,083333;0;7,76699;7,428571;68,265714;Standard;7,042857;17,792999;Difficile;4,541667;1,145833;1;0,145833;0;0;100;0;Low
Pubnub;TelemetryManager.java;0,058824;0;2,189781;4;56,93;Piuttosto-Difficile;6,8;17,733333;Difficile;0,411765;0,176471;0,058824;0,058824;0;0;100;0;Low
Pubnub;Time.java;0;0;0;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;0;0;0;0;Very-Low
Pubnub;UnsubscribeBuilder.java;0;0;0;0;0;Molto-Confusionario;0;0;Infantile;0;0;0;0;100;0;100;0;Very-Low
